Date,_unnamed,Hour,Offense Type,Beat,Premise,Block Range,Street Name,Type,Suffix,# Of Offenses
2010-01-14,,17,Robbery,6B40,18C,600-699,MOUNT HOUSTON,RD,W,1
2010-01-23,,17,Robbery,10H40,13A,1700-1799,GRAY,-,-,1
2010-01-26,,16,Robbery,2A10,13R,2600-2699,REYNOLDS,-,-,1
2010-01-18,,21,Robbery,1A10,13R,200-299,DALLAS,ST,W,1
2010-01-17,,19,Robbery,19G40,18G,11700-11799,BISSONNET,ST,-,1
2010-01-06,,14,Robbery,10H50,13R,3000-3099,HOLMAN,-,-,1
2010-01-24,,03,Robbery,3B40,13R,4200-4299,ARLINGTON,ST,-,1
2010-01-17,,11,Robbery,4F20,18G,2300-2399,GESSNER,DR,-,1
2010-01-21,,08,Robbery,6B20,13R,5900-5999,BALBO,ST,-,1
2010-01-08,,18,Robbery,15E10,05L,5600-5699,BEECHNUT,ST,-,1
2010-01-21,,08,Robbery,1A20,18O,4100-4199,MONTROSE,BLVD,-,1
2010-01-20,,05,Robbery,12D70,18O,15800-15899,GALVESTON,RD,-,1
2010-01-28,,01,Robbery,10H50,13R,3300-3399,DENNIS,ST,-,1
2010-01-02,,01,Robbery,18F50,13R,3700-3799,GESSNER,DR,S,1
2010-01-02,,20,Robbery,14D20,080,8300-8399,CALHOUN,RD,-,1
2010-01-01,,00,Robbery,13D10,13R,4700-4799,TELEPHONE,RD,-,1
2010-01-01,,18,Robbery,11H20,13R,2800-2899,BERKLEY,ST,-,1
2010-01-18,,01,Robbery,1A20,09D,400-499,GRAY,-,-,1
2010-01-18,,01,Robbery,9C20,03B,2000-2099,MCCARTY,-,-,1
2010-01-23,,10,Robbery,19G40,13R,9700-9799,LEAWOOD,BLVD,-,1
2010-01-07,,06,Robbery,8C60,13R,5700-5799,JUSTIN,-,-,1
2010-01-09,,10,Robbery,13D20,210,7800-7899,BELLFORT,ST,-,1
2010-01-20,,18,Robbery,17E10,250,5700-5799,BELLAIRE,BLVD,-,1
2010-01-20,,18,Robbery,7C50,210,8700-8799,FM 1960,-,-,1
2010-01-07,,06,Robbery,3B50,18R,7800-7899,FULTON,ST,-,1
2010-01-31,,02,Robbery,8C40,13R,8800-8899,OAK KNOLL,LN,-,1
2010-01-19,,19,Robbery,2A10,13R,4300-4399,EDISON,ST,-,1
2010-01-23,,02,Robbery,18F30,13R,2800-2899,GREENRIDGE,DR,-,1
2010-01-22,,20,Robbery,15E30,20P,4000-4099,LANARK,LN,-,1
2010-01-24,,00,Robbery,20G60,210,1100-1199,DAIRY ASHFORD,-,-,1
2009-01-02,,22,Robbery,2A10,13R,2400-2499,MAIN,-,N,1
2010-01-17,,22,Robbery,17E30,18C,8900-8999,BRAESWOOD,BLVD,S,1
2010-01-11,,21,Robbery,10H50,18C,2300-2399,MCGOWEN,ST,-,1
2010-01-14,,22,Robbery,16E20,18C,3500-3599,OREM,DR,W,1
2010-01-22,,18,Robbery,20G10,120,9900-9999,WESTHEIMER,RD,-,1
2009-01-17,,03,Robbery,13D10,13H,6900-6999,GULF,FWY,-,1
2010-01-20,,12,Robbery,10H70,18O,1200-1299,BINZ,ST,-,1
2010-01-03,,08,Robbery,4F30,18C,1200-1299,HWY 6,-,N,1
2010-01-18,,14,Robbery,19G20,070,4000-4099,BOONE,RD,-,1
2010-01-23,,20,Robbery,2A10,18C,2900-2999,HARDY,-,-,1
2010-01-14,,22,Robbery,17E10,13R,6600-6699,ASHCROFT,DR,-,1
2010-01-29,,20,Robbery,6B20,210,7400-7499,SHEPHERD,DR,N,1
2010-01-23,,23,Robbery,1A10,13B,1900-1999,SAN JACINTO,-,-,1
2010-01-21,,14,Robbery,12D10,18T,1100-1199,EDGEBROOK,DR,-,1
2010-01-04,,03,Robbery,20G80,09D,14600-14699,RICHMOND,AVE,-,1
2009-01-15,,14,Robbery,2A10,13R,1200-1299,HARRINGTON,ST,-,1
2010-01-18,,01,Robbery,10H60,13R,2400-2499,BINZ,ST,-,1
2010-01-12,,22,Robbery,15E20,13R,5200-5299,BELLFORT,ST,W,1
2010-01-12,,02,Robbery,3B10,18P,5300-5399,ANTOINE,DR,-,1
2010-01-15,,21,Robbery,18F30,18G,6300-6399,WINDSWEPT,LN,-,1
2010-01-24,,22,Robbery,1A30,13R,3400-3499,YOAKUM,BLVD,-,1
2010-01-19,,04,Robbery,10H40,13R,1800-1899,MCGOWEN,ST,-,1
2010-01-17,,06,Robbery,20G10,13R,9000-9099,TOWN PARK,DR,-,1
