Date,Hour,Offense Type,Beat,Block Range,Street Name,Type,Suffix,# Of
2014-08-04,16,Theft,10H40,,3100-3199,SAN JACINTO,-,-
2014-08-02,00,Theft,10H40,,900-999,MCGOWEN,ST,-
2014-08-31,10,Theft,10H40,Grocery Store or Supermarket Parking Lot,4200-4299,SAN JACINTO,-,-
2014-08-27,00,Aggravated Assault,10H40,,4000-4099,FANNIN,-,-
2014-08-27,09,Theft,10H40,Driveway,2300-2399,MILAM,-,-
2014-08-27,12,Theft,10H40,"Church, Synagogue, or Temple",2000-2099,CRAWFORD,ST,-
2014-08-28,17,Theft,10H40,,4200-4299,SAN JACINTO,-,-
2014-08-31,11,Auto Theft,10H40,Apartment,4600-4699,MAIN,ST,-
2014-08-02,16,Theft,10H40,,2200-2299,MAIN,ST,-
2014-08-01,06,Auto Theft,10H40,,2600-2699,FANNIN,-,-
2014-08-03,13,Theft,10H40,,2400-2499,MAIN,ST,-
2014-08-03,21,Auto Theft,10H40,,2900-2999,CAROLINE,ST,-
2014-08-09,19,Theft,10H40,Service or Gas Station,3100-3199,MAIN,ST,-
2014-08-10,00,Auto Theft,10H40,,2300-2399,TRAVIS,-,-
2014-08-10,09,Theft,10H40,"Road, Street, or Sidewalk",1500-1599,ISABELLA,-,-
2014-08-10,13,Theft,10H40,Grocery Store or Supermarket,4200-4299,SAN JACINTO,-,-
2014-08-10,14,Theft,10H40,"Road, Street, or Sidewalk",200-299,ALABAMA APT 17,-,W
2014-08-08,00,Theft,10H40,"Road, Street, or Sidewalk",3500-3599,TRAVIS,-,-
2014-08-08,08,Theft,10H40,Residence or House,3300-3399,AUSTIN,ST,-
2014-08-16,22,Theft,10H40,"Road, Street, or Sidewalk",3700-3799,TRAVIS,-,-
2014-08-18,16,Theft,10H40,Grocery Store or Supermarket,4200-4299,SAN JACINTO,-,-
2014-08-15,01,Theft,10H40,Apartment Parking Lot,700-799,TUAM,-,-
2014-08-15,05,Theft,10H40,"Road, Street, or Sidewalk",2700-2799,JACKSON,ST,-
2014-08-20,00,Robbery,10H40,Office Building,1700-1799,GRAY,-,-
2014-08-25,12,Theft,10H40,"Physician, Doctor, Dentist's Office",2100-2199,CRAWFORD,ST,-
2014-08-22,03,Aggravated Assault,10H50,"Road, Street, or Sidewalk",2400-2499,SAMPSON,-,-
2014-08-14,10,Aggravated Assault,10H50,"Road, Street, or Sidewalk",2500-2599,ISABELLA,-,-
2014-08-17,09,Aggravated Assault,10H50,Bus Stop,3400-3499,MCGOWEN,ST,-
2014-08-08,11,Theft,10H50,,2100-2199,MCGOWEN,ST,-
2014-08-09,23,Aggravated Assault,10H50,Residence or House,2600-2699,DELANO,-,-
2014-08-11,15,Theft,10H50,,4900-4999,CALHOUN,RD,-
2014-08-03,21,Aggravated Assault,10H50,"Multi-Plex Home (Duplex,Triplex Etc.)",3700-3799,BREMOND,ST,-
2014-08-03,08,Burglary,10H50,Commercial Building,3300-3399,DELANO,-,-
2014-08-05,20,Aggravated Assault,10H50,,3700-3799,BURKETT,ST,-
2014-08-01,03,Robbery,10H50,"Road, Street, or Sidewalk",2000-2099,SAUER,-,-
2014-08-29,23,Burglary,10H50,Residence or House,2400-2499,SAMPSON,-,-
2014-08-29,23,Theft,10H50,Other Parking Lot,3100-3199,MILBY,-,-
2014-08-28,08,Theft,10H50,,3100-3199,CLEBURNE,ST,-
2014-08-31,20,Burglary,10H50,"Multi-Plex Home (Duplex,Triplex Etc.)",2100-2199,BERRY,ST,-
2014-08-01,21,Aggravated Assault,10H50,Apartment,3600-3699,BEULAH,ST,-
2014-08-01,16,Theft,10H50,,3200-3299,ALABAMA,ST,-
2014-06-01,14,Theft,10H50,,2700-2799,DOWLING,ST,-
2014-08-03,03,Theft,10H50,"Road, Street, or Sidewalk",2200-2299,HADLEY,ST,-
2014-08-04,02,Aggravated Assault,10H50,"Road, Street, or Sidewalk",2800-2899,TIERWESTER,-,-
2014-08-07,19,Auto Theft,10H50,"Road, Street, or Sidewalk",3500-3599,BURKETT,ST,-
2014-08-12,00,Robbery,10H50,"Road, Street, or Sidewalk",2400-2499,MCILHENNY,ST,-
