Date,Hour,Offense Type,Beat,Premise,BlockRange,StreetName,Type,Suffix,# offenses
2014-10-25,23,Aggravated Assault,10H50,Residence or House,2800-2899,NETTLETON,-,-,2
2014-10-27,17,Theft,10H50,Other Parking Lot,3600-3699,ROSALIE,-,-,1
2014-10-27,23,Aggravated Assault,10H50,Residence or House,3500-3599,SAINT CHARLES,-,-,1
2014-10-24,08,Theft,10H50,"Road, Street, or Sidewalk",3200-3299,MCGOWEN,ST,-,1
2014-10-15,18,Theft,10H50,,3800-3899,SCOTT,-,-,1
2014-10-16,07,Auto Theft,10H50,Bar or Night Club Parking Lot,2300-2399,PIERCE,-,-,1
2014-10-21,14,Theft,10H50,High School,3300-3399,SAMPSON,-,-,1
2014-10-19,06,Burglary,10H50,Restaurant or Cafeteria Parking Lot,3700-3799,SCOTT,-,-,1
2014-10-12,13,Burglary,10H50,Residence or House,3200-3299,BURKETT,ST,-,1
2014-10-13,04,Aggravated Assault,10H50,Convenience Store,3400-3499,ROSALIE,-,-,1
2014-10-09,08,Theft,10H50,"Road, Street, or Sidewalk",2400-2499,DOWLING,ST,-,1
2014-10-05,16,Aggravated Assault,10H50,Residence or House,3600-3699,DELANO,-,-,1
2014-10-02,11,Robbery,10H50,"Road, Street, or Sidewalk",3200-3299,HUTCHINS,-,-,1
2014-10-02,21,Theft,10H50,,3600-3699,ADAIR,ST,-,1
2014-10-30,19,Theft,10H50,"Church, Synagogue, or Temple",3400-3499,ANITA,ST,-,1
2014-10-30,21,Robbery,10H50,"Road, Street, or Sidewalk",3100-3199,ALABAMA,ST,-,1
2014-10-12,10,Burglary,10H50,Residence or House,3300-3399,ADAIR,ST,-,1
2014-10-09,06,Aggravated Assault,10H50,"Road, Street, or Sidewalk",3000-3099,LIVE OAK,-,-,1
2014-10-09,12,Burglary,10H50,Residence or House,3100-3199,ST EMANUEL,-,-,1
2014-10-03,15,Burglary,10H50,Residence or House,3700-3799,BREMOND,ST,-,1
2014-10-23,00,Theft,10H50,"Road, Street, or Sidewalk",2300-2399,BURKETT,ST,-,1
2014-10-11,11,Burglary,10H50,"Vacant Single Occ Resd(House,Townhs,Dplex)",3600-3699,MCGOWEN,ST,-,1
2014-10-01,11,Aggravated Assault,10H50,Convenience Store,2700-2799,MCGOWEN,ST,-,1
2014-10-04,13,Aggravated Assault,10H50,"Road, Street, or Sidewalk",3200-3299,BREMOND,ST,-,1
2014-10-27,08,Theft,10H50,Residence or House,2500-2599,CLEBURNE,ST,-,1
2014-10-23,21,Burglary,10H50,"Multi-Plex Home (Duplex,Triplex Etc.)",3300-3399,ADAIR,ST,-,1
2014-10-24,06,Robbery,10H50,"Road, Street, or Sidewalk",2600-2699,NAGLE,-,-,1
2014-10-21,22,Theft,10H50,Convenience Store Parking Lot,3500-3599,GULF,FWY,-,1
2014-10-14,15,Aggravated Assault,10H50,Railroad Track or Right Of Way,3300-3399,SCOTT,-,-,1
2014-10-30,16,Theft,10H50,High School,3500-3599,ELGIN,ST,-,1
2014-10-02,01,Aggravated Assault,10H50,Apartment,2400-2499,SAMPSON,-,-,1
2014-10-06,13,Burglary,10H50,Residence or House,2400-2499,CLEBURNE,ST,-,1
2014-10-10,18,Theft,10H50,,3400-3499,CLEBURNE,ST,-,1
2014-10-17,10,Aggravated Assault,10H50,Apartment,3200-3299,TRUXILLO,-,-,1
2014-10-20,12,Theft,10H50,"Road, Street, or Sidewalk",3900-3999,DENNIS,ST,-,1
2014-10-18,10,Aggravated Assault,10H50,"Road, Street, or Sidewalk",3000-3099,SCOTT,-,-,1
2014-10-26,13,Auto Theft,10H50,"Road, Street, or Sidewalk",3700-3799,DELANO,-,-,1
2014-10-21,09,Theft,10H50,Restaurant or Cafeteria Parking Lot,3400-3499,SCOTT,-,-,1
