WARNING *** file size (2752234) not 512 + multiple of sector size (512)
WARNING *** OLE2 inconsistency: SSCS size is 0 but SSAT size is non-zero
Date,Hour,Offense Type,Beat,Premise,Block Range,Street Name,Type,Suffix,# Of Offenses,Field11
2010-09-10,16,Robbery,3B40,13S,4000-4099,NORTH,FWY SER,W,1,
2010-09-10,20,Robbery,7C50,18A,14800-14899,CROSSWINDS,DR,-,1,
2010-09-10,20,Robbery,4F10,18A,9500-9599,LONG POINT,RD,-,1,
2010-09-05,22,Robbery,19G10,20A,8300-8399,COURSE,DR,S,1,
2010-09-05,11,Robbery,15E20,13B,10500-10599,POST OAK,RD,S,1,
2010-09-06,01,Robbery,18F60,18O,8500-8599,BEECHNUT,ST,-,1,
2010-09-06,04,Robbery,9C40,18A,12800-12899,MARKET,ST,-,1,
2010-09-06,05,Robbery,19G40,13R,11900-11999,BISSONNET,ST,-,1,
2010-09-06,02,Robbery,1A10,13R,1200-1299,TRAVIS,ST,-,1,
2010-09-06,07,Robbery,14D20,13B,4700-4799,WENDA,-,-,1,
2010-09-10,14,Robbery,7C30,18O,10100-10199,ALDINE WESTFIELD,RD,-,1,
2010-09-11,02,Robbery,5F40,18A,13500-13599,BRETON RIDGE,ST,-,1,
2010-09-10,07,Robbery,9C40,18C,400-499,MAXEY,RD,-,1,
2010-09-10,19,Robbery,11H40,20R,5400-5499,PRIMROSE,ST,-,1,
2010-09-10,18,Robbery,7C10,20A,900-999,BAYOU,ST,-,1,
2010-09-10,21,Robbery,14D10,18A,4000-4099,CORDER,ST,-,1,
2010-09-10,21,Robbery,14D20,18A,10200-10299,SCOTT,-,-,1,
2010-09-10,22,Robbery,6B10,18O,6700-6799,AIRLINE,DR,-,1,
2010-09-11,01,Robbery,18F20,18M,2500-2599,MCCUE,RD,-,1,
2010-09-11,01,Robbery,10H40,18N,2900-2999,TRAVIS,ST,-,1,
2010-09-06,09,Robbery,16E30,23S,14600-14699,HILLCROFT,-,W,1,
2010-09-05,20,Robbery,12D70,18T,300-399,EL DORADO,BLVD,W,1,
2010-09-06,15,Robbery,18F20,05M,5000-5099,WESTHEIMER,RD,-,1,
2010-09-06,16,Robbery,13D20,20D,8300-8399,GLEN VALLEY,DR,-,1,
2010-09-06,20,Robbery,8C30,20R,7900-7999,GATES,ST,-,1,
2010-09-06,21,Robbery,3B10,20A,5600-5699,ANTOINE,DR,-,1,
2010-09-06,22,Robbery,5F20,18A,9000-9099,KEMPWOOD,DR,-,1,
2010-09-06,23,Robbery,20G50,18R,10400-10499,KATY,FWY,-,1,
2010-09-06,23,Robbery,9C10,070,9100-9199,CLINTON,DR,-,1,
2010-09-06,23,Robbery,20G10,18A,10000-10099,WESTPARK,-,-,1,
2010-09-07,01,Robbery,20G20,18A,10900-10999,BRIAR FOREST,DR,-,1,
2010-09-06,22,Robbery,18F60,18A,6600-6699,HARBOR TOWN,DR,-,1,
2010-09-12,04,Robbery,18F50,18N,7600-7699,DASHWOOD,DR,-,1,
2010-09-12,05,Robbery,20G80,18A,2500-2599,JOEL WHEATON,-,-,1,
2010-09-12,05,Robbery,19G10,18A,8600-8699,COURSE,DR,S,1,
2010-09-12,05,Robbery,17E30,18A,9000-9099,BRAESWOOD,BLVD,S,1,
2010-09-06,08,Robbery,1A10,250,900-999,GIRARD,-,-,1,
2010-09-07,11,Robbery,9C40,18C,800-899,UVALDE,RD,-,1,
2010-09-06,17,Robbery,20G50,080,900-999,GESSNER,DR,-,1,
2010-09-07,14,Robbery,17E20,18A,7400-7499,BISSONNET,ST,-,1,
2010-09-07,15,Robbery,10H60,18A,3700-3799,ODIN,CT,-,1,
2010-09-07,15,Robbery,17E40,20A,12500-12599,SANDPIPER,DR,-,1,
2010-09-01,14,Robbery,6B30,18C,7300-7399,ANTOINE,DR,-,1,
2010-09-07,18,Robbery,11H30,20D,8000-8099,ITHACA,-,-,1,
